id,date,cloud_cover,tile_id,geometry_type,geometry_coords_count
S2B_MSIL2A_20200103T072309_N0500_R006_T38RPN_20230627T002044.SAFE,2020-01-03T07:32:53.945Z,0.02,,,0
S2B_MSIL2A_20200106T073209_N0500_R049_T38RPN_20230422T001342.SAFE,2020-01-06T07:42:49.259Z,0.55,,,0
S2A_MSIL2A_20200108T072301_N0500_R006_T38RPN_20230810T220514.SAFE,2020-01-08T07:32:53.426Z,4.29,,,0
S2A_MSIL2A_20200111T073251_N0500_R049_T38RPN_20230626T073452.SAFE,2020-01-11T07:42:48.741Z,0.03,,,0
S2B_MSIL2A_20200113T072249_N0500_R006_T38RPN_20230604T174101.SAFE,2020-01-13T07:32:53.368Z,7.64,,,0
S2B_MSIL2A_20200116T073139_N0500_R049_T38RPN_20230618T105446.SAFE,2020-01-16T07:42:48.496Z,3.0,,,0
S2A_MSIL2A_20200118T072231_N0500_R006_T38RPN_20230629T175058.SAFE,2020-01-18T07:32:52.844Z,0.24,,,0
S2A_MSIL2A_20200121T073221_N0500_R049_T38RPN_20230614T143141.SAFE,2020-01-21T07:42:48.002Z,7.68,,,0
S2B_MSIL2A_20200123T072209_N0500_R006_T38RPN_20230617T051323.SAFE,2020-01-23T07:32:52.23Z,52.35,,,0
S2B_MSIL2A_20200126T073059_N0500_R049_T38RPN_20230629T132737.SAFE,2020-01-26T07:42:47.217Z,1.93,,,0
S2A_MSIL2A_20200128T072141_N0500_R006_T38RPN_20230627T012057.SAFE,2020-01-28T07:32:51.816Z,0.09,,,0
S2A_MSIL2A_20200131T073131_N0500_R049_T38RPN_20230624T080356.SAFE,2020-01-31T07:42:46.789Z,0.0,,,0
S2B_MSIL2A_20200202T072119_N0500_R006_T38RPN_20230628T132105.SAFE,2020-02-02T07:32:52.127Z,4.47,,,0
S2B_MSIL2A_20200205T073009_N0500_R049_T38RPN_20230616T085913.SAFE,2020-02-05T07:42:48.197Z,83.46,,,0
S2A_MSIL2A_20200207T072051_N0500_R006_T38RPN_20230625T100016.SAFE,2020-02-07T07:32:50.93Z,0.13,,,0
S2A_MSIL2A_20200210T073031_N0500_R049_T38RPN_20230704T002105.SAFE,2020-02-10T07:42:46.939Z,29.76,,,0
S2B_MSIL2A_20200212T072019_N0500_R006_T38RPN_20230701T010648.SAFE,2020-02-12T07:32:54.149Z,0.04,,,0
S2B_MSIL2A_20200215T073009_N0500_R049_T38RPN_20230624T171844.SAFE,2020-02-15T07:42:50.034Z,0.0,,,0
S2A_MSIL2A_20200217T071951_N0500_R006_T38RPN_20230609T170847.SAFE,2020-02-17T07:32:52.772Z,96.98,,,0
S2A_MSIL2A_20200220T072931_N0500_R049_T38RPN_20230613T022355.SAFE,2020-02-20T07:42:48.641Z,63.2,,,0
S2B_MSIL2A_20200222T071919_N0500_R006_T38RPN_20230610T230611.SAFE,2020-02-22T07:32:55.625Z,0.15,,,0
S2B_MSIL2A_20200225T072859_N0500_R049_T38RPN_20230610T015337.SAFE,2020-02-25T07:42:51.382Z,70.06,,,0
S2A_MSIL2A_20200227T071841_N0500_R006_T38RPN_20230613T033848.SAFE,2020-02-27T07:32:54.13Z,2.7,,,0
S2A_MSIL2A_20200301T072821_N0500_R049_T38RPN_20230611T143544.SAFE,2020-03-01T07:42:49.836Z,0.07,,,0
S2B_MSIL2A_20200303T071809_N0500_R006_T38RPN_20230606T215307.SAFE,2020-03-03T07:32:56.531Z,0.71,,,0
S2B_MSIL2A_20200306T072749_N0500_R049_T38RPN_20230626T233332.SAFE,2020-03-06T07:42:52.141Z,0.0,,,0
S2A_MSIL2A_20200308T071731_N0500_R006_T38RPN_20230602T181719.SAFE,2020-03-08T07:32:54.953Z,0.47,,,0
S2A_MSIL2A_20200311T072711_N0500_R049_T38RPN_20230619T233332.SAFE,2020-03-11T07:42:50.541Z,17.81,,,0
