year_month,date,cloud_cover,scene_id,file_size_mb,pu_estimated,output_path
2020-01,2020-01-31,0.0,S2A_MSIL2A_20200131T073131_N0500_R049_T38RPN_20230624T080356.SAFE,41.8,17.18,data/processed/monthly/2020_01.tif
2020-02,2020-02-15,0.0,S2B_MSIL2A_20200215T073009_N0500_R049_T38RPN_20230624T171844.SAFE,41.3,17.18,data/processed/monthly/2020_02.tif
2020-03,2020-03-06,0.0,S2B_MSIL2A_20200306T072749_N0500_R049_T38RPN_20230626T233332.SAFE,40.9,17.18,data/processed/monthly/2020_03.tif
2020-04,2020-04-22,0.0,S2B_MSIL2A_20200422T071609_N0500_R006_T38RPN_20230521T141150.SAFE,18.2,17.18,data/processed/monthly/2020_04.tif
2020-05,2020-05-30,0.0,S2A_MSIL2A_20200530T072621_N0500_R049_T38RPN_20230508T090212.SAFE,41.4,17.18,data/processed/monthly/2020_05.tif
2020-06,2020-06-01,0.0,S2B_MSIL2A_20200601T071619_N0500_R006_T38RPN_20230501T061516.SAFE,19.0,17.18,data/processed/monthly/2020_06.tif
2020-07,2020-07-01,0.0,S2B_MSIL2A_20200701T071619_N0500_R006_T38RPN_20230613T081324.SAFE,18.5,17.18,data/processed/monthly/2020_07.tif
2020-08,2020-08-03,0.0,S2B_MSIL2A_20200803T072619_N0500_R049_T38RPN_20230420T045913.SAFE,42.0,17.18,data/processed/monthly/2020_08.tif
2020-09,2020-09-07,0.0,S2A_MSIL2A_20200907T072621_N0500_R049_T38RPN_20230415T112702.SAFE,41.5,17.18,data/processed/monthly/2020_09.tif
2020-10,2020-10-02,0.0,S2B_MSIL2A_20201002T072729_N0500_R049_T38RPN_20230411T043231.SAFE,41.5,17.18,data/processed/monthly/2020_10.tif
2020-11,2020-11-01,0.0,S2B_MSIL2A_20201101T073049_N0500_R049_T38RPN_20230407T161355.SAFE,41.4,17.18,data/processed/monthly/2020_11.tif
2020-12,2020-12-11,0.0,S2B_MSIL2A_20201211T073219_N0500_R049_T38RPN_20230225T102533.SAFE,41.6,17.18,data/processed/monthly/2020_12.tif
2021-01,2021-01-25,0.0,S2A_MSIL2A_20210125T073201_N0500_R049_T38RPN_20230528T024029.SAFE,41.7,17.18,data/processed/monthly/2021_01.tif
2021-02,2021-02-04,0.0,S2A_MSIL2A_20210204T073111_N0500_R049_T38RPN_20230605T101804.SAFE,41.7,17.18,data/processed/monthly/2021_02.tif
2021-03,2021-03-08,0.0,S2B_MSIL2A_20210308T071739_N0500_R006_T38RPN_20230529T145319.SAFE,19.6,17.18,data/processed/monthly/2021_03.tif
2021-04,2021-04-20,0.0,S2B_MSIL2A_20210420T072609_N0500_R049_T38RPN_20230523T101002.SAFE,40.9,17.18,data/processed/monthly/2021_04.tif
2021-05,2021-05-05,0.0,S2A_MSIL2A_20210505T072611_N0500_R049_T38RPN_20230313T130318.SAFE,41.3,17.18,data/processed/monthly/2021_05.tif
2021-06,2021-06-04,0.0,S2A_MSIL2A_20210604T072621_N0500_R049_T38RPN_20230307T064449.SAFE,41.1,17.18,data/processed/monthly/2021_06.tif
2021-07,2021-07-04,0.0,S2A_MSIL2A_20210704T072621_N0500_R049_T38RPN_20230201T155743.SAFE,41.4,17.18,data/processed/monthly/2021_07.tif
2021-08,2021-08-03,0.0,S2A_MSIL2A_20210803T072621_N0500_R049_T38RPN_20230211T064055.SAFE,41.0,17.18,data/processed/monthly/2021_08.tif
2021-09,2021-09-04,0.0,S2B_MSIL2A_20210904T071619_N0500_R006_T38RPN_20230117T085746.SAFE,18.4,17.18,data/processed/monthly/2021_09.tif
2021-10,2021-10-07,0.0,S2B_MSIL2A_20211007T072759_N0500_R049_T38RPN_20230108T011251.SAFE,41.8,17.18,data/processed/monthly/2021_10.tif
2021-11,2021-11-01,0.0,S2A_MSIL2A_20211101T073051_N0500_R049_T38RPN_20230103T074647.SAFE,42.1,17.18,data/processed/monthly/2021_11.tif
2021-12,2021-12-03,0.05,S2B_MSIL2A_20211203T072249_N0500_R006_T38RPN_20221225T072523.SAFE,19.4,17.18,data/processed/monthly/2021_12.tif
2022-01,2022-01-05,0.0,S2B_MSIL2A_20220105T073209_N0510_R049_T38RPN_20240424T074730.SAFE,41.7,17.18,data/processed/monthly/2022_01.tif
2022-02,2022-02-04,0.0,S2B_MSIL2A_20220204T073009_N0510_R049_T38RPN_20240510T110354.SAFE,41.5,17.18,data/processed/monthly/2022_02.tif
2022-03,2022-03-16,0.0,S2B_MSIL2A_20220316T072639_N0510_R049_T38RPN_20240523T103001.SAFE,42.0,17.18,data/processed/monthly/2022_03.tif
2022-04,2022-04-30,0.0,S2A_MSIL2A_20220430T072621_N0510_R049_T38RPN_20240609T120735.SAFE,41.4,17.18,data/processed/monthly/2022_04.tif
2022-05,2022-05-10,0.0,S2A_MSIL2A_20220510T072621_N0510_R049_T38RPN_20240615T201241.SAFE,41.6,17.18,data/processed/monthly/2022_05.tif
2022-06,2022-06-04,0.0,S2B_MSIL2A_20220604T072619_N0510_R049_T38RPN_20240630T211716.SAFE,41.7,17.18,data/processed/monthly/2022_06.tif
2022-07,2022-07-06,0.11,S2A_MSIL2A_20220706T071631_N0510_R006_T38RPN_20240624T072454.SAFE,21.6,17.18,data/processed/monthly/2022_07.tif
2022-08,2022-08-08,0.0,S2A_MSIL2A_20220808T072631_N0510_R049_T38RPN_20240716T030044.SAFE,41.4,17.18,data/processed/monthly/2022_08.tif
2022-09,2022-09-02,0.0,S2B_MSIL2A_20220902T072619_N0510_R049_T38RPN_20240728T045639.SAFE,41.5,17.18,data/processed/monthly/2022_09.tif
2022-10,2022-10-02,0.0,S2B_MSIL2A_20221002T072719_N0510_R049_T38RPN_20240801T195050.SAFE,41.6,17.18,data/processed/monthly/2022_10.tif
2022-11,2022-11-16,0.01,S2A_MSIL2A_20221116T073201_N0510_R049_T38RPN_20240805T002412.SAFE,42.1,17.18,data/processed/monthly/2022_11.tif
2022-12,2022-12-11,0.0,S2B_MSIL2A_20221211T073219_N0510_R049_T38RPN_20240806T135701.SAFE,41.7,17.18,data/processed/monthly/2022_12.tif
2023-01,2023-01-20,0.0,S2B_MSIL2A_20230120T073129_N0510_R049_T38RPN_20240811T205217.SAFE,41.8,17.18,data/processed/monthly/2023_01.tif
2023-02,2023-02-24,0.0,S2A_MSIL2A_20230224T072911_N0510_R049_T38RPN_20240821T145025.SAFE,42.2,17.18,data/processed/monthly/2023_02.tif
2023-03,2023-03-16,0.0,S2A_MSIL2A_20230316T072641_N0510_R049_T38RPN_20240827T124807.SAFE,41.9,17.18,data/processed/monthly/2023_03.tif
2023-04,2023-04-30,0.0,S2B_MSIL2A_20230430T072619_N0510_R049_T38RPN_20240903T065000.SAFE,41.7,17.18,data/processed/monthly/2023_04.tif
2023-05,2023-05-05,0.06,S2A_MSIL2A_20230505T072621_N0510_R049_T38RPN_20240831T223506.SAFE,42.0,17.18,data/processed/monthly/2023_05.tif
2023-06,2023-06-09,0.0,S2B_MSIL2A_20230609T072619_N0510_R049_T38RPN_20240927T160454.SAFE,41.3,17.18,data/processed/monthly/2023_06.tif
2023-07,2023-07-04,0.0,S2A_MSIL2A_20230704T072621_N0510_R049_T38RPN_20240913T111047.SAFE,41.6,17.18,data/processed/monthly/2023_07.tif
2023-08,2023-08-03,0.0,S2A_MSIL2A_20230803T072621_N0510_R049_T38RPN_20241022T024001.SAFE,41.0,17.18,data/processed/monthly/2023_08.tif
2023-09,2023-09-07,0.0,S2B_MSIL2A_20230907T072619_N0510_R049_T38RPN_20241026T060216.SAFE,41.6,17.18,data/processed/monthly/2023_09.tif
2023-10,2023-10-02,0.0,S2A_MSIL2A_20231002T072731_N0510_R049_T38RPN_20241109T011707.SAFE,41.5,17.18,data/processed/monthly/2023_10.tif
2023-11,2023-11-18,0.35,S2A_MSIL2A_20231118T072201_N0510_R006_T38RPN_20241109T055324.SAFE,20.1,17.18,data/processed/monthly/2023_11.tif
2023-12,2023-12-01,0.0,S2A_MSIL2A_20231201T073241_N0510_R049_T38RPN_20241101T012730.SAFE,41.8,17.18,data/processed/monthly/2023_12.tif
2024-01,2024-01-22,0.13,S2B_MSIL2A_20240122T072219_N0510_R006_T38RPN_20240122T115020.SAFE,19.3,17.18,data/processed/monthly/2024_01.tif
2024-02,2024-02-29,0.0,S2A_MSIL2A_20240229T072841_N0510_R049_T38RPN_20240229T124150.SAFE,42.4,17.18,data/processed/monthly/2024_02.tif
2024-03,2024-03-10,0.0,S2A_MSIL2A_20240310T072721_N0510_R049_T38RPN_20240310T104654.SAFE,42.0,17.18,data/processed/monthly/2024_03.tif
2024-04,2024-04-04,0.0,S2B_MSIL2A_20240404T072609_N0510_R049_T38RPN_20240404T085710.SAFE,41.7,17.18,data/processed/monthly/2024_04.tif
2024-05,2024-05-04,0.0,S2B_MSIL2A_20240504T072619_N0510_R049_T38RPN_20240504T090809.SAFE,42.6,17.18,data/processed/monthly/2024_05.tif
2024-06,2024-06-03,0.0,S2B_MSIL2A_20240603T072619_N0510_R049_T38RPN_20240603T085657.SAFE,42.3,17.18,data/processed/monthly/2024_06.tif
2024-07,2024-07-03,0.0,S2B_MSIL2A_20240703T072619_N0510_R049_T38RPN_20240703T085918.SAFE,41.6,17.18,data/processed/monthly/2024_07.tif
2024-08,2024-08-02,0.0,S2B_MSIL2A_20240802T072619_N0511_R049_T38RPN_20240802T085501.SAFE,41.8,17.18,data/processed/monthly/2024_08.tif
2024-09,2024-09-01,0.0,S2B_MSIL2A_20240901T072619_N0511_R049_T38RPN_20240901T103757.SAFE,42.0,17.18,data/processed/monthly/2024_09.tif
2024-10,2024-10-01,0.0,S2B_MSIL2A_20241001T072629_N0511_R049_T38RPN_20241001T090359.SAFE,42.4,17.18,data/processed/monthly/2024_10.tif
2024-11,2024-11-05,0.0,S2A_MSIL2A_20241105T073101_N0511_R049_T38RPN_20241105T102751.SAFE,41.8,17.18,data/processed/monthly/2024_11.tif
2024-12,2024-12-20,0.0,S2B_MSIL2A_20241220T073229_N0511_R049_T38RPN_20241220T082653.SAFE,41.9,17.18,data/processed/monthly/2024_12.tif
2025-01,2025-01-14,0.0,S2A_MSIL2A_20250114T073251_N0511_R049_T38RPN_20250114T101250.SAFE,42.1,17.18,data/processed/monthly/2025_01.tif
2025-02,2025-02-03,0.0,S2C_MSIL2A_20250203T073151_N0511_R049_T38RPN_20250203T113611.SAFE,41.7,17.18,data/processed/monthly/2025_02.tif
2025-03,2025-03-17,0.0,S2A_MSIL2A_20250317T073021_N0511_R049_T38RPN_20250317T111415.SAFE,42.3,17.18,data/processed/monthly/2025_03.tif
2025-04,2025-04-09,0.0,S2B_MSIL2A_20250409T072619_N0511_R049_T38RPN_20250409T082740.SAFE,41.8,17.18,data/processed/monthly/2025_04.tif
2025-05,2025-05-09,0.0,S2B_MSIL2A_20250509T072619_N0511_R049_T38RPN_20250509T094732.SAFE,41.6,17.18,data/processed/monthly/2025_05.tif
2025-06,2025-06-03,0.0,S2C_MSIL2A_20250603T072641_N0511_R049_T38RPN_20250603T101214.SAFE,41.9,17.18,data/processed/monthly/2025_06.tif
2025-07,2025-07-03,0.0,S2C_MSIL2A_20250703T072641_N0511_R049_T38RPN_20250703T110516.SAFE,41.6,17.18,data/processed/monthly/2025_07.tif
2025-08,2025-08-02,0.0,S2C_MSIL2A_20250802T072641_N0511_R049_T38RPN_20250802T110714.SAFE,41.5,17.18,data/processed/monthly/2025_08.tif
2025-09,2025-09-06,0.0,S2B_MSIL2A_20250906T072619_N0511_R049_T38RPN_20250906T093007.SAFE,41.6,17.18,data/processed/monthly/2025_09.tif
2025-10,2025-10-03,0.0,S2A_MSIL2A_20251003T073031_N0511_R049_T38RPN_20251003T111116.SAFE,42.3,17.18,data/processed/monthly/2025_10.tif
2025-11,2025-11-20,0.0,S2C_MSIL2A_20251120T073231_N0511_R049_T38RPN_20251120T102811.SAFE,41.9,17.18,data/processed/monthly/2025_11.tif
2025-12,2025-12-05,0.0,S2B_MSIL2A_20251205T073209_N0511_R049_T38RPN_20251205T082245.SAFE,42.1,17.18,data/processed/monthly/2025_12.tif
2026-01,2026-01-04,0.0,S2B_MSIL2A_20260104T073219_N0511_R049_T38RPN_20260104T094802.SAFE,42.9,17.18,data/processed/monthly/2026_01.tif
2026-02,2026-02-13,0.0,S2B_MSIL2A_20260213T072919_N0512_R049_T38RPN_20260213T094253.SAFE,42.5,17.18,data/processed/monthly/2026_02.tif
2026-03,2026-03-25,0.0,S2B_MSIL2A_20260325T072609_N0512_R049_T38RPN_20260325T100048.SAFE,42.2,17.18,data/processed/monthly/2026_03.tif
2026-04,2026-04-06,14.65,S2C_MSIL2A_20260406T071621_N0512_R006_T38RPN_20260406T104220.SAFE,19.3,17.18,data/processed/monthly/2026_04.tif
