date,roi_name,mean_ndvi,median_ndvi,valid_pixel_count,ndvi_climatology,ndvi_anomaly
2020-01-15,wadi_hanifa,0.100873,0.078544,299330,0.103843,-0.002970
2020-01-15,king_salman_park,0.070120,0.071974,94335,0.070463,-0.000343
2020-01-15,northern_expansion,0.075596,0.070126,141932,0.076417,-0.000822
2020-01-15,central_urban,0.082523,0.077153,84057,0.082096,0.000427
2020-02-15,wadi_hanifa,0.099893,0.082767,299330,0.100098,-0.000205
2020-02-15,king_salman_park,0.071717,0.075077,94335,0.069971,0.001746
2020-02-15,northern_expansion,0.075777,0.073832,141932,0.074409,0.001368
2020-02-15,central_urban,0.080486,0.078012,84057,0.078746,0.001740
2020-03-15,wadi_hanifa,0.094076,0.076760,299330,0.096022,-0.001946
2020-03-15,king_salman_park,0.068001,0.069326,94335,0.065687,0.002314
2020-03-15,northern_expansion,0.071258,0.067032,141932,0.071361,-0.000103
2020-03-15,central_urban,0.076504,0.071164,84057,0.076952,-0.000448
2020-04-15,wadi_hanifa,,,0,,
2020-04-15,king_salman_park,,,0,,
2020-04-15,northern_expansion,,,0,,
2020-04-15,central_urban,,,0,,
2020-05-15,wadi_hanifa,0.097102,0.070998,299330,0.094373,0.002728
2020-05-15,king_salman_park,0.066553,0.066349,94335,0.065532,0.001021
2020-05-15,northern_expansion,0.073991,0.065973,141932,0.071942,0.002049
2020-05-15,central_urban,0.081264,0.068673,84057,0.079651,0.001613
2020-06-15,wadi_hanifa,,,0,,
2020-06-15,king_salman_park,,,0,,
2020-06-15,northern_expansion,,,0,,
2020-06-15,central_urban,,,0,,
2020-07-15,wadi_hanifa,,,0,,
2020-07-15,king_salman_park,,,0,,
2020-07-15,northern_expansion,,,0,,
2020-07-15,central_urban,,,0,,
2020-08-15,wadi_hanifa,0.088429,0.057122,299326,0.082803,0.005626
2020-08-15,king_salman_park,0.053393,0.053201,94335,0.055552,-0.002159
2020-08-15,northern_expansion,0.061652,0.052106,141932,0.061313,0.000339
2020-08-15,central_urban,0.072006,0.057651,84057,0.067635,0.004371
2020-09-15,wadi_hanifa,0.097066,0.074162,299330,0.087138,0.009928
2020-09-15,king_salman_park,0.068451,0.070904,94335,0.059884,0.008567
2020-09-15,northern_expansion,0.074284,0.069619,141932,0.065290,0.008994
2020-09-15,central_urban,0.078661,0.069763,84057,0.070272,0.008389
2020-10-15,wadi_hanifa,0.096459,0.073250,299330,0.091623,0.004836
2020-10-15,king_salman_park,0.065201,0.067559,94335,0.061016,0.004185
2020-10-15,northern_expansion,0.071625,0.066388,141932,0.068363,0.003262
2020-10-15,central_urban,0.080344,0.070832,84057,0.075832,0.004512
2020-11-15,wadi_hanifa,0.101642,0.080937,299330,0.094196,0.007446
2020-11-15,king_salman_park,0.068638,0.072398,94335,0.061031,0.007607
2020-11-15,northern_expansion,0.075603,0.072208,141932,0.069161,0.006442
2020-11-15,central_urban,0.083648,0.077692,84057,0.076047,0.007601
2020-12-15,wadi_hanifa,0.102013,0.078693,299330,0.096465,0.005548
2020-12-15,king_salman_park,0.065031,0.068825,94335,0.063434,0.001597
2020-12-15,northern_expansion,0.072959,0.068161,141932,0.070483,0.002476
2020-12-15,central_urban,0.080904,0.075222,84057,0.076334,0.004570
2021-01-15,wadi_hanifa,0.101672,0.082640,299330,0.103843,-0.002171
2021-01-15,king_salman_park,0.068366,0.072665,94335,0.070463,-0.002097
2021-01-15,northern_expansion,0.075625,0.072508,141932,0.076417,-0.000793
2021-01-15,central_urban,0.079145,0.076244,84057,0.082096,-0.002951
2021-02-15,wadi_hanifa,0.095982,0.075429,299330,0.100098,-0.004116
2021-02-15,king_salman_park,0.064276,0.067650,94335,0.069971,-0.005695
2021-02-15,northern_expansion,0.070338,0.066069,141932,0.074409,-0.004071
2021-02-15,central_urban,0.074148,0.069480,84057,0.078746,-0.004598
2021-03-15,wadi_hanifa,,,0,,
2021-03-15,king_salman_park,,,0,,
2021-03-15,northern_expansion,,,0,,
2021-03-15,central_urban,,,0,,
2021-04-15,wadi_hanifa,0.094533,0.073027,299330,0.095035,-0.000502
2021-04-15,king_salman_park,0.066946,0.066735,94335,0.067030,-0.000084
2021-04-15,northern_expansion,0.071954,0.065125,141932,0.071863,0.000091
