aoi,month_slot,acquisition_date,system_index,cloudy_pixel_pct,processing_baseline,source,notes
king_salman_park,2025-07-15,2025-07-15,20250715T073031_20250715T073445_T38RPN,0.152976,05.11,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=2.2544132140087227; uvai_date=2025-07-15
king_salman_park,2023-07-09,2023-07-09,20230709T072619_20230709T073152_T38RPN,0.081340,05.09,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.8878602809463596; uvai_date=2023-07-09
king_salman_park,2025-07-03,2025-07-03,20250703T072641_20250703T073357_T38RPN,0.039386,05.11,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.8420647661439729; uvai_date=2025-07-03
king_salman_park,2023-07-04,2023-07-04,20230704T072621_20230704T073148_T38RPN,0.094270,05.09,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.8327815491069155; uvai_date=2023-07-04
king_salman_park,2022-07-09,2022-07-09,20220709T072631_20220709T074256_T38RPN,2.192421,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.7822470656455571; uvai_date=2022-07-09
king_salman_park,2024-07-08,2024-07-08,20240708T072621_20240708T073143_T38RPN,0.020007,05.10,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.757441129824848; uvai_date=2024-07-08
king_salman_park,2022-02-19,2022-02-19,20220219T072941_20220219T073147_T38RPN,0.000000,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.7310718383654815; uvai_date=2022-02-19
king_salman_park,2022-07-04,2022-07-04,20220704T072619_20220704T073152_T38RPN,0.047030,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.6238609703093987; uvai_date=2022-07-04
king_salman_park,2026-02-08,2026-02-08,20260208T073051_20260208T074027_T38RPN,0.021380,05.12,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.600158286867588; uvai_date=2026-02-08
king_salman_park,2024-02-24,2024-02-24,20240224T072909_20240224T073143_T38RPN,0.336379,05.10,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.5851456982338075; uvai_date=2024-02-24
king_salman_park,2023-02-14,2023-02-14,20230214T073011_20230214T073142_T38RPN,0.925378,05.09,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.5396905252617972; uvai_date=2023-02-14
king_salman_park,2022-01-10,2022-01-10,20220110T073301_20220110T073302_T38RPN,0.000000,03.01,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.5131875016542846; uvai_date=2022-01-10
king_salman_park,2026-02-13,2026-02-13,20260213T074301_20260213T074302_T38RPN,0.000000,05.12,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.500135858766084; uvai_date=2026-02-13
