aoi,fired_date,neighbor_date,dt_days,fired_sen2cor,neighbor_sen2cor,delta_sen2cor,fired_b8,neighbor_b8,delta_b8_s30,arm_a_diff,fired_qa,neighbor_qa
king_salman_park,2021-06-14,2021-05-05,-40,0.078811,0.074591,0.004220,0.064766,0.070713,-0.005947,-0.010167,ok,ok
king_salman_park,2022-06-09,2022-05-10,-30,0.075783,0.059797,0.015986,0.069799,0.054845,0.014954,-0.001032,multi_scene_mosaicked(n=19),ok
king_salman_park,2022-07-04,2022-08-03,30,0.067761,0.037995,0.029766,0.062110,0.042907,0.019203,-0.010563,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=12)
king_salman_park,2022-09-07,2022-08-03,-35,0.068238,0.037995,0.030243,0.065143,0.042907,0.022236,-0.008007,multi_scene_mosaicked(n=25),multi_scene_mosaicked(n=12)
king_salman_park,2023-05-05,2023-04-30,-5,0.070460,0.084764,-0.014304,0.062485,0.075689,-0.013204,0.001100,multi_scene_mosaicked(n=18),multi_scene_mosaicked(n=20)
king_salman_park,2023-06-24,2023-04-30,-55,0.065543,0.084764,-0.019221,0.062567,0.075689,-0.013122,0.006099,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=20)
king_salman_park,2023-10-02,2023-11-21,50,0.065151,0.055144,0.010007,0.065007,0.055856,0.009151,-0.000856,multi_scene_mosaicked(n=19),multi_scene_mosaicked(n=4)
king_salman_park,2024-03-10,2024-02-24,-15,0.072919,0.072252,0.000667,0.064139,0.064693,-0.000554,-0.001221,multi_scene_mosaicked(n=13),multi_scene_mosaicked(n=11)
king_salman_park,2024-05-04,2024-04-04,-30,0.080814,0.081584,-0.000770,0.064173,0.076128,-0.011955,-0.011185,multi_scene_mosaicked(n=18),multi_scene_mosaicked(n=18)
king_salman_park,2024-09-16,2024-11-05,50,0.060165,0.070237,-0.010072,0.059824,0.068477,-0.008653,0.001419,multi_scene_mosaicked(n=19),multi_scene_mosaicked(n=7)
king_salman_park,2024-10-01,2024-11-05,35,0.066731,0.070237,-0.003506,0.058132,0.068477,-0.010345,-0.006839,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=7)
king_salman_park,2025-04-09,2025-03-15,-25,0.070473,0.072359,-0.001886,0.067631,0.065714,0.001917,0.003803,multi_scene_mosaicked(n=18),multi_scene_mosaicked(n=18)
king_salman_park,2025-05-09,2025-03-15,-55,0.066023,0.072359,-0.006336,0.057520,0.065714,-0.008194,-0.001858,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=18)
king_salman_park,2025-10-11,2025-11-25,45,0.072664,0.085470,-0.012806,0.065970,0.076766,-0.010796,0.002010,ok,ok
qiddiya_core,2020-11-11,2020-12-11,30,0.058936,0.075142,-0.016206,0.058684,0.068367,-0.009683,0.006523,ok,ok
qiddiya_core,2021-02-14,2021-01-05,-40,0.072063,0.066755,0.005308,0.071140,0.061973,0.009167,0.003859,ok,ok
qiddiya_core,2021-11-21,2022-01-10,50,0.055787,0.066972,-0.011185,0.055521,0.066152,-0.010631,0.000554,ok,ok
qiddiya_core,2021-12-01,2022-01-10,40,0.070113,0.066972,0.003141,0.065590,0.066152,-0.000562,-0.003703,ok,ok
qiddiya_core,2022-03-16,2022-02-04,-40,0.074177,0.073542,0.000635,0.069661,0.069107,0.000554,-0.000081,ok,ok
qiddiya_core,2022-10-12,2022-12-11,60,0.078460,0.077700,0.000760,0.075906,0.071368,0.004538,0.003778,multi_scene_mosaicked(n=14),multi_scene_mosaicked(n=4)
qiddiya_core,2022-11-21,2022-12-11,20,0.059178,0.077700,-0.018522,0.056076,0.071368,-0.015292,0.003230,multi_scene_mosaicked(n=5),multi_scene_mosaicked(n=4)
qiddiya_core,2023-02-24,2023-03-16,20,0.091483,0.079434,0.012049,0.090647,0.080298,0.010349,-0.001700,multi_scene_mosaicked(n=11),multi_scene_mosaicked(n=11)
qiddiya_core,2023-04-30,2023-03-16,-45,0.085704,0.079434,0.006270,0.082939,0.080298,0.002641,-0.003629,multi_scene_mosaicked(n=20),multi_scene_mosaicked(n=11)
qiddiya_core,2023-05-05,2023-03-16,-50,0.079134,0.079434,-0.000300,0.080965,0.080298,0.000667,0.000967,multi_scene_mosaicked(n=18),multi_scene_mosaicked(n=11)
qiddiya_core,2023-10-02,2023-11-21,50,0.059468,0.050818,0.008650,0.064272,0.056501,0.007771,-0.000879,multi_scene_mosaicked(n=19),multi_scene_mosaicked(n=4)
qiddiya_core,2024-02-29,2024-01-05,-55,0.074184,0.051732,0.022452,0.069307,0.055203,0.014104,-0.008348,multi_scene_mosaicked(n=7),multi_scene_mosaicked(n=5)
qiddiya_core,2024-12-15,2025-01-19,35,0.066934,0.079828,-0.012894,0.052591,0.062658,-0.010067,0.002827,multi_scene_mosaicked(n=3),multi_scene_mosaicked(n=5)
qiddiya_core,2025-02-08,2025-01-19,-20,0.066160,0.079828,-0.013668,0.060886,0.062658,-0.001772,0.011896,multi_scene_mosaicked(n=3),multi_scene_mosaicked(n=5)
qiddiya_core,2025-11-25,2025-12-30,35,0.061721,0.073672,-0.011951,0.056557,0.065723,-0.009166,0.002785,ok,ok
diriyah_gate,2021-06-14,2021-05-05,-40,0.152504,0.136398,0.016106,0.123243,0.131320,-0.008077,-0.024183,ok,ok
diriyah_gate,2022-04-10,2022-03-16,-25,0.118058,0.148123,-0.030065,0.108028,0.113108,-0.005080,0.024985,ok,ok
diriyah_gate,2022-05-10,2022-03-16,-55,0.099733,0.148123,-0.048390,0.091198,0.113108,-0.021910,0.026480,ok,ok
diriyah_gate,2022-07-04,2022-08-18,45,0.132995,0.123374,0.009621,0.120958,0.111410,0.009548,-0.000073,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=21)
diriyah_gate,2025-05-09,2025-04-24,-15,0.119515,0.134050,-0.014535,0.114878,0.123200,-0.008322,0.006213,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=16)
diriyah_gate,2025-06-05,2025-04-24,-42,0.125490,0.134050,-0.008560,0.114027,0.123200,-0.009173,-0.000613,ok,multi_scene_mosaicked(n=16)
diriyah_gate,2025-07-03,2025-08-04,32,0.125212,0.111202,0.014010,0.117871,0.105979,0.011892,-0.002118,ok,ok
diriyah_gate,2026-04-14,2026-03-25,-20,0.208728,0.148744,0.059984,0.144831,0.122810,0.022021,-0.037963,ok,ok
