aoi,fired_date,neighbor_date,dt_days,fired_sen2cor,neighbor_sen2cor,delta_sen2cor,fired_hls,neighbor_hls,delta_hls,diff_of_diffs,fired_qa,neighbor_qa
king_salman_park,2021-06-14,2021-05-05,-40,0.078811,0.074591,0.004220,0.081736,0.088797,-0.007061,-0.011281,ok,ok
king_salman_park,2022-06-09,2022-05-10,-30,0.075783,0.059797,0.015986,0.087819,0.078270,0.009549,-0.006437,multi_scene_mosaicked(n=19),ok
king_salman_park,2022-07-04,2022-08-03,30,0.067761,0.037995,0.029766,0.081163,0.087981,-0.006818,-0.036584,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=12)
king_salman_park,2022-09-07,2022-08-03,-35,0.068238,0.037995,0.030243,0.090880,0.087981,0.002899,-0.027344,multi_scene_mosaicked(n=25),multi_scene_mosaicked(n=12)
king_salman_park,2023-05-05,2023-04-30,-5,0.070460,0.084764,-0.014304,0.085042,0.090847,-0.005805,0.008499,multi_scene_mosaicked(n=18),multi_scene_mosaicked(n=20)
king_salman_park,2023-06-24,2023-04-30,-55,0.065543,0.084764,-0.019221,0.085157,0.090847,-0.005690,0.013531,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=20)
king_salman_park,2023-10-02,2023-11-21,50,0.065151,0.055144,0.010007,0.090971,0.093030,-0.002059,-0.012066,multi_scene_mosaicked(n=19),multi_scene_mosaicked(n=4)
king_salman_park,2024-03-10,2024-02-24,-15,0.072919,0.072252,0.000667,0.084498,0.092434,-0.007936,-0.008603,multi_scene_mosaicked(n=13),multi_scene_mosaicked(n=11)
king_salman_park,2024-05-04,2024-04-04,-30,0.080814,0.081584,-0.000770,0.082955,0.091175,-0.008220,-0.007450,multi_scene_mosaicked(n=18),multi_scene_mosaicked(n=18)
king_salman_park,2024-09-16,2024-11-05,50,0.060165,0.070237,-0.010072,0.087597,0.094105,-0.006508,0.003564,multi_scene_mosaicked(n=19),multi_scene_mosaicked(n=7)
king_salman_park,2024-10-01,2024-11-05,35,0.066731,0.070237,-0.003506,0.081258,0.094105,-0.012847,-0.009341,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=7)
king_salman_park,2025-04-09,2025-03-15,-25,0.070473,0.072359,-0.001886,0.092019,0.090396,0.001623,0.003509,multi_scene_mosaicked(n=18),multi_scene_mosaicked(n=18)
king_salman_park,2025-05-09,2025-03-15,-55,0.066023,0.072359,-0.006336,0.077252,0.090396,-0.013144,-0.006808,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=18)
king_salman_park,2025-10-11,2025-11-25,45,0.072664,0.085470,-0.012806,0.091930,0.094194,-0.002264,0.010542,ok,ok
qiddiya_core,2020-11-11,2020-12-11,30,0.058936,0.075142,-0.016206,0.086194,0.093589,-0.007395,0.008811,ok,ok
qiddiya_core,2021-02-14,2021-01-05,-40,0.072063,0.066755,0.005308,0.095348,0.091031,0.004317,-0.000991,ok,ok
qiddiya_core,2021-11-21,2022-01-10,50,0.055787,0.066972,-0.011185,0.088131,0.094775,-0.006644,0.004541,ok,ok
qiddiya_core,2021-12-01,2022-01-10,40,0.070113,0.066972,0.003141,0.085163,0.094775,-0.009612,-0.012753,ok,ok
qiddiya_core,2022-03-16,2022-02-04,-40,0.074177,0.073542,0.000635,0.093605,0.097726,-0.004121,-0.004756,ok,ok
qiddiya_core,2022-10-12,2022-12-11,60,0.078460,0.077700,0.000760,0.093108,0.094611,-0.001503,-0.002263,multi_scene_mosaicked(n=14),multi_scene_mosaicked(n=4)
qiddiya_core,2022-11-21,2022-12-11,20,0.059178,0.077700,-0.018522,0.086210,0.094611,-0.008401,0.010121,multi_scene_mosaicked(n=5),multi_scene_mosaicked(n=4)
qiddiya_core,2023-02-24,2023-03-16,20,0.091483,0.079434,0.012049,0.107298,0.107823,-0.000525,-0.012574,multi_scene_mosaicked(n=11),multi_scene_mosaicked(n=11)
qiddiya_core,2023-04-30,2023-03-16,-45,0.085704,0.079434,0.006270,0.103641,0.107823,-0.004182,-0.010452,multi_scene_mosaicked(n=20),multi_scene_mosaicked(n=11)
qiddiya_core,2023-05-05,2023-03-16,-50,0.079134,0.079434,-0.000300,0.106391,0.107823,-0.001432,-0.001132,multi_scene_mosaicked(n=18),multi_scene_mosaicked(n=11)
qiddiya_core,2023-10-02,2023-11-21,50,0.059468,0.050818,0.008650,0.089508,0.091726,-0.002218,-0.010868,multi_scene_mosaicked(n=19),multi_scene_mosaicked(n=4)
qiddiya_core,2024-02-29,2024-01-05,-55,0.074184,0.051732,0.022452,0.088506,0.085506,0.003000,-0.019452,multi_scene_mosaicked(n=7),multi_scene_mosaicked(n=5)
qiddiya_core,2024-12-15,2025-01-19,35,0.066934,0.079828,-0.012894,0.079748,0.084495,-0.004747,0.008147,multi_scene_mosaicked(n=3),multi_scene_mosaicked(n=5)
qiddiya_core,2025-02-08,2025-01-19,-20,0.066160,0.079828,-0.013668,0.082427,0.084495,-0.002068,0.011600,multi_scene_mosaicked(n=3),multi_scene_mosaicked(n=5)
qiddiya_core,2025-11-25,2025-12-30,35,0.061721,0.073672,-0.011951,0.075499,0.086652,-0.011153,0.000798,ok,ok
diriyah_gate,2021-06-14,2021-05-05,-40,0.152504,0.136398,0.016106,0.142105,0.150083,-0.007978,-0.024084,ok,ok
diriyah_gate,2022-04-10,2022-03-16,-25,0.118058,0.148123,-0.030065,0.126746,0.136496,-0.009750,0.020315,ok,ok
diriyah_gate,2022-05-10,2022-03-16,-55,0.099733,0.148123,-0.048390,0.116605,0.136496,-0.019891,0.028499,ok,ok
diriyah_gate,2022-07-04,2022-08-18,45,0.132995,0.123374,0.009621,0.143532,0.141646,0.001886,-0.007735,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=21)
diriyah_gate,2025-05-09,2025-04-24,-15,0.119515,0.134050,-0.014535,0.139093,0.142667,-0.003574,0.010961,multi_scene_mosaicked(n=17),multi_scene_mosaicked(n=16)
diriyah_gate,2025-06-05,2025-04-24,-42,0.125490,0.134050,-0.008560,0.137532,0.142667,-0.005135,0.003425,ok,multi_scene_mosaicked(n=16)
diriyah_gate,2025-07-03,2025-08-04,32,0.125212,0.111202,0.014010,0.144133,0.137682,0.006451,-0.007559,ok,ok
diriyah_gate,2026-04-14,2026-03-25,-20,0.208728,0.148744,0.059984,0.176684,0.147712,0.028972,-0.031012,ok,ok
