aoi,date,hls_system_index,hls_ndvi,n_valid_pixels,n_total_pixels,qa_flag
king_salman_park,2021-05-05,T38RPN_20210505T072611,0.088797,14755,18756,ok
king_salman_park,2021-06-14,T38RPN_20210614T072621,0.081736,13944,18756,ok
king_salman_park,2022-05-10,T38RPN_20220510T072621,0.078270,6692,18756,ok
king_salman_park,2022-06-09,T01UBS_20220608T230541+T01VCK_20220609T232639+T01VCL_20220610T234631+T01WCM_20220610T234631+T01WCN_20220610T234631+T01WCP_20220608T235619+T01WCP_20220610T234631+T01WCQ_20220608T235619+T01WCQ_20220610T234631+T01WCR_20220608T235619+T01WCR_20220610T234631+T01WCS_20220608T235619+T01WCT_20220608T235619+T01WCU_20220608T235619+T01WCU_20220610T001621+T01WCV_20220608T002609+T38RPN_20220609T072621+T60VXQ_20220609T232639+T60VXR_20220610T234631,0.087819,16083,20700,multi_scene_mosaicked(n=19)
king_salman_park,2022-07-04,T01LAK_20220705T222759+T01VCL_20220705T234629+T01WCM_20220705T234629+T01WCP_20220703T235631+T01WCP_20220705T234629+T01WCQ_20220703T235631+T01WCQ_20220705T234629+T01WCR_20220703T235631+T01WCR_20220705T234629+T01WCS_20220703T235631+T01WCT_20220703T235631+T01WCT_20220705T001619+T01WCU_20220703T235631+T01WCU_20220705T001619+T01WCV_20220703T002621+T38RPN_20220704T072619+T60VXR_20220705T234629,0.081163,14464,20700,multi_scene_mosaicked(n=17)
king_salman_park,2022-08-03,T01FBF_20220804T214921+T01LAK_20220804T222759+T01VCL_20220804T234629+T01WCP_20220802T235631+T01WCQ_20220802T235631+T01WCR_20220802T235631+T01WCS_20220802T235631+T01WCT_20220802T235631+T01WCV_20220802T002621+T38RPN_20220803T072619+T60VXR_20220804T234629+T60WWE_20220802T002621,0.087981,11606,20700,multi_scene_mosaicked(n=12)
king_salman_park,2022-09-07,T01FBF_20220908T214909+T01LAK_20220908T222811+T01UBS_20220906T230541+T01UBT_20220906T230541+T01VCK_20220907T232639+T01VCL_20220908T234631+T01WCM_20220908T234631+T01WCN_20220908T234631+T01WCP_20220908T234631+T01WCQ_20220906T235619+T01WCQ_20220908T234631+T01WCR_20220908T234631+T01WCS_20220906T235619+T01WCT_20220906T235619+T01WCT_20220908T001621+T01WCU_20220906T235619+T01WCU_20220908T001621+T01WCV_20220906T002609+T01WCV_20220908T001621+T38RPN_20220907T072631+T60UXC_20220906T230541+T60VXQ_20220907T232639+T60VXR_20220908T234631+T60WWE_20220906T002609+T60WWE_20220908T001621,0.090880,13451,20700,multi_scene_mosaicked(n=25)
king_salman_park,2023-04-30,T01FBF_20230501T214911+T01LAK_20230501T222759+T01UBT_20230429T230529+T01VCK_20230430T232631+T01VCL_20230501T234629+T01WCM_20230501T234629+T01WCN_20230501T234629+T01WCQ_20230429T235611+T01WCQ_20230501T234629+T01WCR_20230429T235611+T01WCR_20230501T234629+T01WCT_20230429T235611+T01WCT_20230501T001609+T01WCU_20230429T235611+T01WCU_20230501T001609+T38RPN_20230430T072619+T60UXB_20230429T230529+T60UXC_20230429T230529+T60VXQ_20230430T232631+T60VXR_20230501T234629,0.090847,19346,20700,multi_scene_mosaicked(n=20)
king_salman_park,2023-05-05,T01FBF_20230506T214909+T01LAK_20230506T222801+T01UBT_20230504T230531+T01VCK_20230505T232639+T01VCL_20230506T234621+T01WCP_20230506T234621+T01WCQ_20230504T235619+T01WCQ_20230506T234621+T01WCR_20230504T235619+T01WCR_20230506T234621+T01WCS_20230504T235619+T01WCT_20230504T235619+T01WCT_20230506T001611+T01WCU_20230504T235619+T38RPN_20230505T072621+T60UXC_20230504T230531+T60VXQ_20230505T232639+T60VXR_20230506T234621,0.085042,6322,20700,multi_scene_mosaicked(n=18)
king_salman_park,2023-06-24,T01LAK_20230625T222801+T01VCL_20230625T234621+T01WCM_20230625T234621+T01WCN_20230625T234621+T01WCP_20230623T235619+T01WCP_20230625T234621+T01WCQ_20230623T235619+T01WCQ_20230625T234621+T01WCR_20230623T235619+T01WCR_20230625T234621+T01WCS_20230623T235619+T01WCT_20230623T235619+T01WCU_20230623T235619+T01WCV_20230623T002609+T38RPN_20230624T072621+T60VXR_20230625T234621+T60WWE_20230623T002609,0.085157,6112,20700,multi_scene_mosaicked(n=17)
