date,sub_aoi,final_label,ref_date,dbb_faithful,n_valid_pixels,n_total_pixels,notes
2021-02,king_salman_park,clean,2024-12-05,-0.0656796587175018,41222,41989,test_id=20210204T073111_20210204T073144_T38RPN;test_date=2021-02-04;ref_id=20241205T073301_20241205T073546_T38RPN
2021-07,king_salman_park,clean,2024-12-05,0.0444737364145521,41222,41989,test_id=20210724T072621_20210724T073151_T38RPN;test_date=2021-07-24;ref_id=20241205T073301_20241205T073546_T38RPN
2022-04,king_salman_park,light_haze,2024-12-05,-0.027005026829667378,41222,41989,test_id=20220430T072621_20220430T073152_T38RPN;test_date=2022-04-30;ref_id=20241205T073301_20241205T073546_T38RPN
2022-06,king_salman_park,light_haze,2024-12-05,0.11025719924320375,41222,41989,test_id=20220609T072621_20220609T073156_T38RPN;test_date=2022-06-09;ref_id=20241205T073301_20241205T073546_T38RPN
2022-07,king_salman_park,light_haze,2024-12-05,0.15567088537163865,41222,41989,test_id=20220704T072619_20220704T073152_T38RPN;test_date=2022-07-04;ref_id=20241205T073301_20241205T073546_T38RPN
2023-01,king_salman_park,clean,2024-12-05,-0.08341380982748862,41222,41989,test_id=20230120T073129_20230120T073142_T38RPN;test_date=2023-01-20;ref_id=20241205T073301_20241205T073546_T38RPN
2024-01,king_salman_park,clean,2024-12-05,-0.027121523935844657,41222,41989,test_id=20240105T073219_20240105T073216_T38RPN;test_date=2024-01-05;ref_id=20241205T073301_20241205T073546_T38RPN
2024-08,king_salman_park,heavy_dust,2024-12-05,0.2563207661825935,41222,41989,test_id=20240802T072619_20240802T073147_T38RPN;test_date=2024-08-02;ref_id=20241205T073301_20241205T073546_T38RPN
2025-02,king_salman_park,clean,2024-12-05,0.03747490310742837,41222,41989,test_id=20250208T072959_20250208T073146_T38RPN;test_date=2025-02-08;ref_id=20241205T073301_20241205T073546_T38RPN
2025-12,king_salman_park,clean,2024-12-05,-0.011937532117196458,41222,41989,test_id=20251230T073331_20251230T074157_T38RPN;test_date=2025-12-30;ref_id=20241205T073301_20241205T073546_T38RPN
2026-01,king_salman_park,clean,2024-12-05,-0.010541814628551232,41222,41989,test_id=20260104T073219_20260104T074234_T38RPN;test_date=2026-01-04;ref_id=20241205T073301_20241205T073546_T38RPN
2020-01,qiddiya_core,clean,2021-01-10,0.03639990721995081,41421,41836,test_id=20200131T073131_20200131T073131_T38RPN;test_date=2020-01-31;ref_id=20210110T073159_20210110T073904_T38RPN
2020-07,qiddiya_core,clean,2021-01-10,0.16032055187317745,41420,41836,test_id=20200704T072619_20200704T073413_T38RPN;test_date=2020-07-04;ref_id=20210110T073159_20210110T073904_T38RPN
2021-03,qiddiya_core,clean,2021-01-10,0.1777405244360499,41421,41836,test_id=20210331T072619_20210331T073145_T38RPN;test_date=2021-03-31;ref_id=20210110T073159_20210110T073904_T38RPN
2021-08,qiddiya_core,clean,2021-01-10,0.23640877337624838,41421,41836,test_id=20210823T072621_20210823T074028_T38RPN;test_date=2021-08-23;ref_id=20210110T073159_20210110T073904_T38RPN
2022-03,qiddiya_core,clean,2021-01-10,0.14972626107187215,41421,41836,test_id=20220316T072639_20220316T073144_T38RPN;test_date=2022-03-16;ref_id=20210110T073159_20210110T073904_T38RPN
2022-04,qiddiya_core,light_haze,2021-01-10,0.15573084197809134,41421,41836,test_id=20220430T072621_20220430T073152_T38RPN;test_date=2022-04-30;ref_id=20210110T073159_20210110T073904_T38RPN
2022-09,qiddiya_core,light_haze,2021-01-10,0.15906041784481295,41421,41836,test_id=20220907T072631_20220907T073159_T38RPN;test_date=2022-09-07;ref_id=20210110T073159_20210110T073904_T38RPN
2023-09,qiddiya_core,clean,2021-01-10,0.241745936967778,41421,41836,test_id=20230912T072621_20230912T073904_T38RPN;test_date=2023-09-12;ref_id=20210110T073159_20210110T073904_T38RPN
2024-02,qiddiya_core,clean,2021-01-10,0.16567953710099603,41421,41836,test_id=20240229T072841_20240229T073147_T38RPN;test_date=2024-02-29;ref_id=20210110T073159_20210110T073904_T38RPN
2024-11,qiddiya_core,clean,2021-01-10,0.12132974762440264,41345,41836,test_id=20241105T073101_20241105T073141_T38RPN;test_date=2024-11-05;ref_id=20210110T073159_20210110T073904_T38RPN
2025-04,qiddiya_core,clean,2021-01-10,0.17458312030997897,41421,41836,test_id=20250409T072619_20250409T073148_T38RPN;test_date=2025-04-09;ref_id=20210110T073159_20210110T073904_T38RPN
2025-07,qiddiya_core,clean,2021-01-10,0.2332148942898585,41421,41836,test_id=20250703T072641_20250703T073357_T38RPN;test_date=2025-07-03;ref_id=20210110T073159_20210110T073904_T38RPN
2026-03,qiddiya_core,clean,2021-01-10,0.044735073703184136,41421,41836,test_id=20260325T072609_20260325T073824_T38RPN;test_date=2026-03-25;ref_id=20210110T073159_20210110T073904_T38RPN
