aoi,calendar_month,n_q1_scenes,n_q4_scenes
king_salman_park,1,3,0
king_salman_park,2,2,1
king_salman_park,3,1,3
king_salman_park,4,1,2
king_salman_park,5,1,4
king_salman_park,6,0,1
king_salman_park,7,1,5
king_salman_park,8,1,2
king_salman_park,9,1,0
king_salman_park,10,1,0
king_salman_park,11,2,0
king_salman_park,12,4,0
qiddiya_core,1,2,1
qiddiya_core,2,2,0
qiddiya_core,3,1,4
qiddiya_core,4,1,2
qiddiya_core,5,1,3
qiddiya_core,6,1,1
qiddiya_core,7,1,3
qiddiya_core,8,1,2
qiddiya_core,9,1,1
qiddiya_core,10,1,1
qiddiya_core,11,3,0
qiddiya_core,12,3,0
diriyah_gate,1,2,0
diriyah_gate,2,2,0
diriyah_gate,3,1,3
diriyah_gate,4,1,3
diriyah_gate,5,1,4
diriyah_gate,6,1,1
diriyah_gate,7,1,2
diriyah_gate,8,1,4
diriyah_gate,9,1,0
diriyah_gate,10,1,1
diriyah_gate,11,3,0
diriyah_gate,12,3,0
