aoi,prediction_point,aod_value,predicted_residual,ci_lo_95_pred,ci_hi_95_pred
king_salman_park,aoi_mean_aod,0.248537,+0.000000,-0.001494,+0.001494
king_salman_park,q1_aod,0.140380,+0.001095,-0.000712,+0.002902
king_salman_park,q4_aod,0.315872,-0.000682,-0.002263,+0.000900
qiddiya_core,aoi_mean_aod,0.228031,+0.000198,-0.001475,+0.001872
qiddiya_core,q1_aod,0.140380,+0.001086,-0.000796,+0.002967
qiddiya_core,q4_aod,0.315872,-0.000691,-0.002493,+0.001111
diriyah_gate,aoi_mean_aod,0.243385,-0.000834,-0.003548,+0.001880
diriyah_gate,q1_aod,0.140380,+0.000208,-0.002604,+0.003021
diriyah_gate,q4_aod,0.315872,-0.001568,-0.004390,+0.001254
diriyah_gate,diriyah_q4_not_v4_anchor (n=12),0.330281,-0.001714,-0.004574,+0.001146
