aoi,year,month,scene_date,system_index,ndvi_aoi_mean,n_valid_pixels,n_total_pixels,notes
king_salman_park,2020,1,2020-01-31,20200131T073131_20200131T073131_T38RPN,0.078176,41596,41989,
king_salman_park,2020,2,2020-02-15,20200215T073009_20200215T073205_T38RPN,0.078865,41596,41989,
king_salman_park,2020,3,2020-03-01,20200301T072821_20200301T073633_T38RPN,0.066018,41596,41989,
king_salman_park,2020,4,2020-04-25,20200425T072609_20200425T073431_T38RPN,0.056072,41568,41989,
king_salman_park,2020,5,2020-05-30,20200530T072621_20200530T073207_T38RPN,0.068733,41330,41989,
king_salman_park,2020,6,2020-06-04,20200604T072619_20200604T073435_T38RPN,0.062711,41447,41989,
king_salman_park,2020,7,2020-07-04,20200704T072619_20200704T073413_T38RPN,0.065631,40733,41989,
king_salman_park,2020,8,2020-08-03,20200803T072619_20200803T073526_T38RPN,0.056867,41503,41989,
king_salman_park,2020,9,2020-09-12,20200912T072619_20200912T073659_T38RPN,0.071765,41596,41989,
king_salman_park,2020,10,2020-10-02,20201002T072729_20201002T073150_T38RPN,0.074186,41596,41989,
king_salman_park,2020,11,2020-11-23,20201123T072231_20201123T072226_T38RPN,,0,0,no_matching_l2a
king_salman_park,2020,12,2020-12-11,20201211T073219_20201211T074003_T38RPN,0.076951,41596,41989,
king_salman_park,2021,1,2021-01-05,20210105T073311_20210105T073312_T38RPN,0.069234,41596,41989,
king_salman_park,2021,2,2021-02-04,20210204T073111_20210204T073144_T38RPN,0.070844,41596,41989,
king_salman_park,2021,3,2021-03-31,20210331T072619_20210331T073145_T38RPN,0.079108,41596,41989,
king_salman_park,2021,4,2021-04-20,20210420T072609_20210420T073142_T38RPN,0.072897,41596,41989,
king_salman_park,2021,5,2021-05-05,20210505T072611_20210505T074015_T38RPN,0.074591,41596,41989,
king_salman_park,2021,6,2021-06-14,20210614T072621_20210614T073148_T38RPN,0.078811,41596,41989,
king_salman_park,2021,7,2021-07-24,20210724T072621_20210724T073151_T38RPN,0.067102,41596,41989,
king_salman_park,2021,8,2021-08-23,20210823T072621_20210823T074028_T38RPN,0.056940,41596,41989,
king_salman_park,2021,9,2021-09-07,20210907T072609_20210907T073555_T38RPN,0.070356,41596,41989,
king_salman_park,2021,10,2021-10-27,20211027T073019_20211027T073147_T38RPN,0.072006,41596,41989,
king_salman_park,2021,11,2021-11-21,20211121T073221_20211121T073219_T38RPN,0.067185,41596,41989,
king_salman_park,2021,12,2021-12-01,20211201T073251_20211201T073253_T38RPN,0.078748,41596,41989,
king_salman_park,2022,1,2022-01-10,20220110T073301_20220110T073302_T38RPN,0.070714,41596,41989,
king_salman_park,2022,2,2022-02-19,20220219T072941_20220219T073147_T38RPN,0.087875,41596,41989,
king_salman_park,2022,3,2022-03-16,20220316T072639_20220316T073144_T38RPN,0.073528,41596,41989,
king_salman_park,2022,4,2022-04-30,20220430T072621_20220430T073152_T38RPN,0.059102,41596,41989,
king_salman_park,2022,5,2022-05-10,20220510T072621_20220510T073151_T38RPN,0.059797,41596,41989,
king_salman_park,2022,6,2022-06-09,20220609T072621_20220609T073156_T38RPN,0.075783,41596,41989,
king_salman_park,2022,7,2022-07-04,20220704T072619_20220704T073152_T38RPN,0.067761,41596,41989,
king_salman_park,2022,8,2022-08-03,20220803T072619_20220803T073152_T38RPN,0.037995,41596,41989,
king_salman_park,2022,9,2022-09-07,20220907T072631_20220907T073159_T38RPN,0.068238,41596,41989,
king_salman_park,2022,10,2022-10-12,20221012T072829_20221012T073143_T38RPN,0.079524,41596,41989,
king_salman_park,2022,11,2022-11-21,20221121T073129_20221121T073145_T38RPN,0.067188,41596,41989,
king_salman_park,2022,12,2022-12-11,20221211T073219_20221211T073217_T38RPN,0.083209,41596,41989,
king_salman_park,2023,1,2023-01-20,20230120T073129_20230120T073142_T38RPN,0.077557,41596,41989,
king_salman_park,2023,2,2023-02-14,20230214T073011_20230214T073142_T38RPN,0.074627,41596,41989,
king_salman_park,2023,3,2023-03-16,20230316T072641_20230316T073144_T38RPN,0.072741,41594,41989,
king_salman_park,2023,4,2023-04-30,20230430T072619_20230430T073149_T38RPN,0.084764,41586,41989,
king_salman_park,2023,5,2023-05-05,20230505T072621_20230505T073147_T38RPN,0.070460,41596,41989,
king_salman_park,2023,6,2023-06-24,20230624T072621_20230624T073150_T38RPN,0.065543,41596,41989,
king_salman_park,2023,7,2023-07-09,20230709T072619_20230709T073152_T38RPN,0.073588,41596,41989,
king_salman_park,2023,8,2023-08-18,20230818T072619_20230818T073626_T38RPN,0.057531,41596,41989,
king_salman_park,2023,9,2023-09-12,20230912T072621_20230912T073904_T38RPN,0.065733,41596,41989,
king_salman_park,2023,10,2023-10-02,20231002T072731_20231002T073145_T38RPN,0.065151,41596,41989,
king_salman_park,2023,11,2023-11-21,20231121T073211_20231121T073213_T38RPN,0.055144,23269,41989,
king_salman_park,2023,12,2023-12-01,20231201T073241_20231201T073244_T38RPN,0.077327,41596,41989,
king_salman_park,2024,1,2024-01-05,20240105T073219_20240105T073216_T38RPN,0.062691,41596,41989,
king_salman_park,2024,2,2024-02-24,20240224T072909_20240224T073143_T38RPN,0.072252,41596,41989,
king_salman_park,2024,3,2024-03-10,20240310T072721_20240310T073146_T38RPN,0.072919,41596,41989,
king_salman_park,2024,4,2024-04-04,20240404T072609_20240404T073144_T38RPN,0.081584,41596,41989,
king_salman_park,2024,5,2024-05-04,20240504T072619_20240504T073147_T38RPN,0.080814,41596,41989,
