rank,date,uvai_mean,calendar_month,allowed_months_for_aoi
1,2022-05-25,3.301210617370568,5,"02,04,05,08,12"
2,2022-05-10,2.293453392460349,5,"02,04,05,08,12"
3,2022-05-20,2.2600237137054604,5,"02,04,05,08,12"
4,2022-05-05,2.2201782297827313,5,"02,04,05,08,12"
5,2025-05-09,2.0905774061659166,5,"02,04,05,08,12"
6,2022-04-10,2.018439172563016,4,"02,04,05,08,12"
7,2022-08-18,1.973487113035887,8,"02,04,05,08,12"
8,2021-08-03,1.851271344546006,8,"02,04,05,08,12"
9,2022-05-30,1.8411724740238407,5,"02,04,05,08,12"
10,2024-05-19,1.7291490269273502,5,"02,04,05,08,12"
11,2025-05-24,1.6279563326792243,5,"02,04,05,08,12"
12,2022-08-23,1.6257503305572207,8,"02,04,05,08,12"
13,2025-04-24,1.6182539797513524,4,"02,04,05,08,12"
14,2025-05-16,1.6080098482524618,5,"02,04,05,08,12"
15,2025-08-04,1.6011059650445545,8,"02,04,05,08,12"
