date,sub_aoi,candidate_uvai,s2_system_index,ai_prelabel,ai_confidence,ai_reasoning,final_label
2021-08-03,diriyah_gate,1.851271344546006,20210803T072621_20210803T073150_T38RPN,,,,
2022-04-10,diriyah_gate,2.018439172563016,20220410T072621_20220410T073149_T38RPN,,,,
2022-05-05,diriyah_gate,2.2201782297827313,20220505T072609_20220505T073142_T38RPN,,,,
2022-05-10,diriyah_gate,2.293453392460349,20220510T072621_20220510T073151_T38RPN,,,,
2022-05-20,diriyah_gate,2.2600237137054604,20220520T072621_20220520T073153_T38RPN,,,,
2022-05-25,diriyah_gate,3.301210617370568,20220525T072619_20220525T073147_T38RPN,,,,
2022-05-30,diriyah_gate,1.8411724740238407,20220530T072621_20220530T073155_T38RPN,,,,
2022-08-18,diriyah_gate,1.973487113035887,20220818T072631_20220818T073200_T38RPN,,,,
2022-08-23,diriyah_gate,1.6257503305572207,20220823T072619_20220823T073821_T38RPN,,,,
2024-05-19,diriyah_gate,1.7291490269273502,20240519T072621_20240519T073503_T38RPN,,,,
2025-04-24,diriyah_gate,1.6182539797513524,20250424T072641_20250424T074135_T38RPN,,,,
2025-05-09,diriyah_gate,2.0905774061659166,20250509T072619_20250509T074216_T38RPN,,,,
2025-05-16,diriyah_gate,1.6080098482524618,20250516T073031_20250516T073441_T38RPN,,,,
2025-05-24,diriyah_gate,1.6279563326792243,20250524T072631_20250524T073832_T38RPN,,,,
2025-08-04,diriyah_gate,1.6011059650445545,20250804T073031_20250804T073952_T38RPN,,,,
