rank,date,uvai_mean,calendar_month,allowed_months_for_aoi
1,2025-07-20,2.403036026896549,7,"01,02,07,12"
2,2025-07-15,2.2544132140087227,7,"01,02,07,12"
3,2022-07-06,2.1835946305201284,7,"01,02,07,12"
4,2023-07-09,1.8878602809463596,7,"01,02,07,12"
5,2025-07-03,1.8420647661439729,7,"01,02,07,12"
6,2023-07-04,1.8327815491069155,7,"01,02,07,12"
7,2022-07-09,1.7822470656455571,7,"01,02,07,12"
8,2024-07-08,1.757441129824848,7,"01,02,07,12"
9,2022-02-19,1.7310718383654815,2,"01,02,07,12"
10,2022-07-04,1.6238609703093987,7,"01,02,07,12"
11,2026-02-08,1.600158286867588,2,"01,02,07,12"
12,2024-02-24,1.5851456982338075,2,"01,02,07,12"
13,2023-02-14,1.5396905252617972,2,"01,02,07,12"
14,2022-01-10,1.5131875016542846,1,"01,02,07,12"
15,2026-02-13,1.500135858766084,2,"01,02,07,12"
