rank,date,uvai_mean,calendar_month,allowed_months_for_aoi,s2_acquisition_date,s2_system_index,s2_cloud_pct,s2_date_offset_days,match_status
1,2024-03-10,2.204234518126536,3,"01,02,03,04,07,08,09,11",2024-03-10,20240310T072721_20240310T073146_T38RPN,0.0016,0,matched
2,2022-04-10,2.073447693003454,4,"01,02,03,04,07,08,09,11",2022-04-10,20220410T072621_20220410T073149_T38RPN,0.4253,0,matched
3,2022-08-18,2.0620290424467456,8,"01,02,03,04,07,08,09,11",2022-08-18,20220818T072631_20220818T073200_T38RPN,3.5934,0,matched
4,2021-07-09,1.994063357072701,7,"01,02,03,04,07,08,09,11",2021-07-09,20210709T072619_20210709T073706_T38RPN,0.0010,0,matched
5,2024-08-02,1.9339356659852651,8,"01,02,03,04,07,08,09,11",2024-08-02,20240802T072619_20240802T073147_T38RPN,0.0010,0,matched
6,2025-08-04,1.9050791358654944,8,"01,02,03,04,07,08,09,11",2025-08-04,20250804T073031_20250804T073952_T38RPN,0.0002,0,matched
7,2025-09-01,1.7895125071313034,9,"01,02,03,04,07,08,09,11",2025-09-01,20250901T072631_20250901T073657_T38RPN,1.5548,0,matched
8,2023-07-04,1.7557505714555748,7,"01,02,03,04,07,08,09,11",2023-07-04,20230704T072621_20230704T073148_T38RPN,0.0008,0,matched
9,2021-07-04,1.7436575372160756,7,"01,02,03,04,07,08,09,11",2021-07-04,20210704T072621_20210704T073150_T38RPN,0.0007,0,matched
10,2024-04-24,1.7383120325594026,4,"01,02,03,04,07,08,09,11",2024-04-24,20240424T072619_20240424T073145_T38RPN,0.0010,0,matched
11,2023-07-09,1.720048632155916,7,"01,02,03,04,07,08,09,11",2023-07-09,20230709T072619_20230709T073152_T38RPN,0.0008,0,matched
12,2025-03-30,1.6738156850367807,3,"01,02,03,04,07,08,09,11",2025-03-30,20250330T072619_20250330T073147_T38RPN,1.4537,0,matched
13,2026-01-29,1.665758630956354,1,"01,02,03,04,07,08,09,11",2026-01-29,20260129T073141_20260129T074013_T38RPN,0.0010,0,matched
14,2023-04-30,1.6499396562576056,4,"01,02,03,04,07,08,09,11",2023-04-30,20230430T072619_20230430T073149_T38RPN,0.0003,0,matched
15,2022-08-03,1.6213385120559591,8,"01,02,03,04,07,08,09,11",2022-08-03,20220803T072619_20220803T073152_T38RPN,0.0126,0,matched
