date,sub_aoi,old_label,ai_prelabel,ai_confidence,ai_reasoning,final_label
2020-01,qiddiya_core,clean,,,,
2020-07,qiddiya_core,clean,,,,
2021-03,qiddiya_core,clean,,,,
2021-08,qiddiya_core,clean,,,,
2022-03,qiddiya_core,light_haze,,,,
2022-04,qiddiya_core,heavy_dust,,,,
2022-09,qiddiya_core,clean,,,,
2023-09,qiddiya_core,light_haze,,,,
2024-02,qiddiya_core,clean,,,,
2024-11,qiddiya_core,clean,,,,
2025-04,qiddiya_core,clean,,,,
2025-07,qiddiya_core,clean,,,,
2026-03,qiddiya_core,light_haze,,,,
